obs_id,verified,title,block,purpose,center_lat,center_lon_east,sun_elev_deg,resolution_cm_px,boulder_expectation,hirise_url,reference,reference_url,notes
ESP_073077_2155,yes,Candidate Recent Impact Site (S1094b epoch 1),V_validation,fresh icy-ejecta boulder field: ~4500 boulders + ~3880 icy boulders mapped with published SFD,35.088,189.823,,,rich (fresh ejecta; published SFD),https://www.uahirise.org/ESP_073077_2155,Tusberti et al. 2024 Icarus,https://www.sciencedirect.com/science/article/pii/S0019103524003154,acquired 2022-02-27 = paper epoch 1; stereo pair ESP_073578_2155 + DTM available; S1094b crater 150 m InSight-detected impact
ESP_076677_2155,yes-ODE,S1094b monitoring (epoch 2),V_validation,second epoch of the published boulder SFD (ice degradation time series),35.104,189.822,,,rich (fresh ejecta; published SFD),https://www.uahirise.org/ESP_076677_2155,Tusberti et al. 2024 Icarus,https://www.sciencedirect.com/science/article/pii/S0019103524003154,acquired 2022-12-05T00:30 = paper epoch 2; ID confirmed via Mars ODE bounding-box query; ~25-product monitoring series exists 2022-2025 if change detection ever wanted
ESP_012495_1160,yes,Omega Hydration Detection,S_southern,southern-hemisphere azimuth regime + boulder halo terrain,-63.919,237.085,31,25.1,moderate: boulder halos (dispersed boulders),https://www.uahirise.org/ESP_012495_1160,Levy et al. 2018 JGR Planets,https://doi.org/10.1002/2017JE005470,LMST 15:58; companion for lone southern cohort image ESP_076499_1160 (same lat band)
ESP_013972_1090,yes,Terrain Sample in Southern Terra Sirenum,S_southern,southern-hemisphere azimuth regime + glacial/periglacial terrain,-70.689,233.741,33,25.0,moderate: boulder halos,https://www.uahirise.org/ESP_013972_1090,Levy et al. 2018 JGR Planets,https://doi.org/10.1002/2017JE005470,acquired northern winter = southern summer; vet browse for frost anyway
ESP_013333_1125,yes,Banded Hilly Terrain West of CTX Image,S_southern,southern-hemisphere azimuth regime + banded hilly terrain (false-positive test),-67.498,39.028,38,25.0,moderate: boulder halos,https://www.uahirise.org/ESP_013333_1125,Levy et al. 2018 JGR Planets,https://doi.org/10.1002/2017JE005470,glacial/periglacial science theme
ESP_011331_1560,paper-text,Eberswalde ellipse east-central,S_southern,published rock counts + 24S southern mid-latitude,-23.9,,,,poor-to-moderate (published counts),https://www.uahirise.org/ESP_011331_1560,Golombek et al. 2012 Mars Journal,http://www.marsjournal.org/contents/2012/0001/files/golombek_mars_2012_0001.pdf,BONUS from Gale extraction: southern + published counts in one image; coords approximate - vet
ESP_019190_1560,paper-text,Eberswalde ellipse east-central,S_southern,published rock counts + 24S southern mid-latitude,-23.9,,,,poor-to-moderate (published counts),https://www.uahirise.org/ESP_019190_1560,Golombek et al. 2012 Mars Journal,http://www.marsjournal.org/contents/2012/0001/files/golombek_mars_2012_0001.pdf,companion of ESP_011331_1560; coords approximate - vet
PSP_001890_1995,paper-text,probable Mars Pathfinder site,V_validation,ground-truthed lander site (43 rocks counted in original sub-image; resolution-enhanced to 230),19.5,,,,poor-to-moderate (published counts),https://www.uahirise.org/PSP_001890_1995,Golombek et al. 2012 Mars Journal,http://www.marsjournal.org/contents/2012/0001/files/golombek_mars_2012_0001.pdf,suffix lat 19.5N matches Pathfinder (19.13N); VERIFY site identity on HiRISE page before use
PSP_002391_1995,paper-text,probable Mars Pathfinder site,V_validation,ground-truthed lander site (65 rocks counted in original sub-image; resolution-enhanced to 360),19.5,,,,poor-to-moderate (published counts),https://www.uahirise.org/PSP_002391_1995,Golombek et al. 2012 Mars Journal,http://www.marsjournal.org/contents/2012/0001/files/golombek_mars_2012_0001.pdf,companion of PSP_001890_1995; VERIFY site identity before use
ESP_016526_2415,yes,Rocky Terrain Sample in Acidalia Planitia,N_highlat,northern high-lat dispersed-boulder texture on polygonal ground,61.152,326.215,39,31.4,moderate: boulder halos / rocky terrain,https://www.uahirise.org/ESP_016526_2415,Levy et al. 2018 JGR Planets,https://doi.org/10.1002/2017JE005470,title literally Rocky Terrain Sample; Acidalia = adjacent province to existing cohort cluster
ESP_017776_2435,yes,Northern Plains Terrain Sample,N_highlat,northern high-lat boulder halos,62.997,38.306,42,62.3,moderate: boulder halos,https://www.uahirise.org/ESP_017776_2435,Levy et al. 2018 JGR Planets,https://doi.org/10.1002/2017JE005470,WARNING: 2x2 binned (62.3 cm/px) - BoulderNet detection floor rises to ~3 m; deprioritize or treat labels as coarse
ESP_017868_2440,yes,Candidate New Impact Site Formed 2008-2010,N_highlat,fresh small impact + northern high-lat,63.894,44.889,42,31.5,moderate: fresh ejecta + halos,https://www.uahirise.org/ESP_017868_2440,Levy et al. 2018 JGR Planets,https://doi.org/10.1002/2017JE005470,impact processes science theme
PSP_001343_2510,yes,Possible Phoenix Lander Landing Site,N_highlat,highest-latitude candidate (71N) + Phoenix-program scene,70.779,124.003,30,32.5,moderate: boulder halos,https://www.uahirise.org/PSP_001343_2510,Levy et al. 2018 JGR Planets,https://doi.org/10.1002/2017JE005470,check BoulderNet domain validity at this latitude; check CTX mosaic tile quality at 71N
